province,date,new_cases
Blagoevgrad,2021-08-06,17.0
Blagoevgrad,2021-08-07,15.0
Blagoevgrad,2021-08-08,14.0
Blagoevgrad,2021-08-09,4.0
Blagoevgrad,2021-08-10,14.0
Blagoevgrad,2021-08-11,12.0
Blagoevgrad,2021-08-12,28.0
Blagoevgrad,2021-08-13,33.0
Blagoevgrad,2021-08-14,32.0
Blagoevgrad,2021-08-15,9.0
Blagoevgrad,2021-08-16,6.0
Blagoevgrad,2021-08-17,35.0
Blagoevgrad,2021-08-18,27.0
Blagoevgrad,2021-08-19,32.0
Blagoevgrad,2021-08-20,35.0
Blagoevgrad,2021-08-21,49.0
Blagoevgrad,2021-08-22,38.0
Blagoevgrad,2021-08-23,15.0
Blagoevgrad,2021-08-24,53.0
Blagoevgrad,2021-08-25,74.0
Blagoevgrad,2021-08-26,65.0
Blagoevgrad,2021-08-27,83.0
Blagoevgrad,2021-08-28,73.0
Blagoevgrad,2021-08-29,31.0
Blagoevgrad,2021-08-30,27.0
Blagoevgrad,2021-08-31,83.0
Blagoevgrad,2021-09-01,66.0
Blagoevgrad,2021-09-02,81.0
Blagoevgrad,2021-09-03,63.0
Blagoevgrad,2021-09-04,92.0
Blagoevgrad,2021-09-05,41.0
Blagoevgrad,2021-09-06,24.0
Blagoevgrad,2021-09-07,43.0
Blagoevgrad,2021-09-08,101.0
Blagoevgrad,2021-09-09,106.0
Blagoevgrad,2021-09-10,95.0
Blagoevgrad,2021-09-11,75.0
Blagoevgrad,2021-09-12,42.0
Blagoevgrad,2021-09-13,19.0
Blagoevgrad,2021-09-14,117.0
Blagoevgrad,2021-09-15,119.0
Blagoevgrad,2021-09-16,125.0
Blagoevgrad,2021-09-17,74.0
Blagoevgrad,2021-09-18,100.0
Blagoevgrad,2021-09-19,52.0
Blagoevgrad,2021-09-20,25.0
Blagoevgrad,2021-09-21,132.0
Blagoevgrad,2021-09-22,130.0
Blagoevgrad,2021-09-23,30.0
Blagoevgrad,2021-09-24,103.0
Blagoevgrad,2021-09-25,97.0
Blagoevgrad,2021-09-26,51.0
Blagoevgrad,2021-09-27,21.0
Blagoevgrad,2021-09-28,138.0
Blagoevgrad,2021-09-29,118.0
Blagoevgrad,2021-09-30,136.0
Blagoevgrad,2021-10-01,98.0
Blagoevgrad,2021-10-02,124.0
Blagoevgrad,2021-10-03,46.0
Blagoevgrad,2021-10-04,18.0
Blagoevgrad,2021-10-05,145.0
Blagoevgrad,2021-10-06,123.0
Blagoevgrad,2021-10-07,114.0
Blagoevgrad,2021-10-08,113.0
Blagoevgrad,2021-10-09,122.0
Blagoevgrad,2021-10-10,40.0
Blagoevgrad,2021-10-11,19.0
Blagoevgrad,2021-10-12,178.0
Blagoevgrad,2021-10-13,130.0
Blagoevgrad,2021-10-14,147.0
Blagoevgrad,2021-10-15,87.0
Blagoevgrad,2021-10-16,161.0
Blagoevgrad,2021-10-17,61.0
Blagoevgrad,2021-10-18,27.0
Blagoevgrad,2021-10-19,204.0
Blagoevgrad,2021-10-20,149.0
Blagoevgrad,2021-10-21,165.0
Blagoevgrad,2021-10-22,181.0
Blagoevgrad,2021-10-23,172.0
Blagoevgrad,2021-10-24,150.0
Blagoevgrad,2021-10-25,51.0
Blagoevgrad,2021-10-26,317.0
Blagoevgrad,2021-10-27,243.0
Blagoevgrad,2021-10-28,248.0
Blagoevgrad,2021-10-29,218.0
Blagoevgrad,2021-10-30,269.0
Blagoevgrad,2021-10-31,111.0
Blagoevgrad,2021-11-01,56.0
Blagoevgrad,2021-11-02,317.0
Blagoevgrad,2021-11-03,279.0
Blagoevgrad,2021-11-04,219.0
Blagoevgrad,2021-11-05,227.0
Blagoevgrad,2021-11-06,258.0
Blagoevgrad,2021-11-07,165.0
Blagoevgrad,2021-11-08,33.0
Burgas,2020-09-03,9.0
Burgas,2020-09-04,2.0
Burgas,2020-09-05,3.0
Burgas,2020-09-06,22.0
Burgas,2020-09-07,1.0
Burgas,2020-09-08,7.0
Burgas,2020-09-09,14.0
Burgas,2020-09-10,15.0
Burgas,2020-09-11,7.0
Burgas,2020-09-12,12.0
Burgas,2020-09-13,2.0
Burgas,2020-09-14,0.0
Burgas,2020-09-15,24.0
Burgas,2020-09-16,9.0
Burgas,2020-09-17,14.0
Burgas,2020-09-18,9.0
Burgas,2020-09-19,6.0
Burgas,2020-09-20,4.0
Burgas,2020-09-21,1.0
Burgas,2020-09-22,16.0
Burgas,2020-09-23,9.0
Burgas,2020-09-24,25.0
Burgas,2020-09-25,16.0
Burgas,2020-09-26,24.0
Burgas,2020-09-27,10.0
Burgas,2020-09-28,2.0
Burgas,2020-09-29,64.0
Burgas,2020-09-30,24.0
Burgas,2020-10-01,19.0
Burgas,2020-10-02,18.0
Burgas,2020-10-03,26.0
Burgas,2020-10-04,6.0
Burgas,2020-10-05,4.0
Burgas,2020-10-06,7.0
Burgas,2020-10-07,38.0
Burgas,2020-10-08,28.0
Burgas,2020-10-09,31.0
Burgas,2020-10-10,28.0
Burgas,2020-10-11,5.0
Burgas,2020-10-12,0.0
Burgas,2020-10-13,42.0
Burgas,2020-10-14,31.0
Burgas,2020-10-15,33.0
Burgas,2020-10-16,62.0
Burgas,2020-10-17,45.0
Burgas,2020-10-18,32.0
Burgas,2020-10-19,6.0
Burgas,2020-10-20,63.0
Burgas,2020-10-21,78.0
Burgas,2020-10-22,59.0
Burgas,2020-10-23,41.0
Burgas,2020-10-24,45.0
Burgas,2020-10-25,32.0
Burgas,2020-10-26,9.0
Burgas,2020-10-27,77.0
Burgas,2020-10-28,101.0
Burgas,2020-10-29,87.0
Burgas,2020-10-30,113.0
Burgas,2020-10-31,73.0
Burgas,2020-11-01,84.0
Burgas,2020-11-02,16.0
Burgas,2020-11-03,57.0
Burgas,2020-11-04,114.0
Burgas,2020-11-05,141.0
Burgas,2020-11-06,266.0
Burgas,2020-11-07,69.0
Burgas,2020-11-08,128.0
Burgas,2020-11-09,13.0
Burgas,2020-11-10,142.0
Burgas,2020-11-11,156.0
Burgas,2020-11-12,281.0
Burgas,2020-11-13,135.0
Burgas,2020-11-14,277.0
Burgas,2020-11-15,118.0
Burgas,2020-11-16,81.0
Burgas,2020-11-17,147.0
Burgas,2020-11-18,282.0
Burgas,2020-11-19,183.0
Burgas,2020-11-20,241.0
Burgas,2020-11-21,157.0
Burgas,2020-11-22,179.0
Burgas,2020-11-23,133.0
Burgas,2020-11-24,51.0
Burgas,2020-11-25,307.0
Burgas,2020-11-26,221.0
Burgas,2020-11-27,278.0
Burgas,2020-11-28,175.0
Burgas,2020-11-29,133.0
Burgas,2020-11-30,118.0
Burgas,2020-12-01,152.0
Burgas,2020-12-02,318.0
Burgas,2020-12-03,242.0
Burgas,2020-12-04,378.0
Burgas,2020-12-05,257.0
Burgas,2020-12-06,182.0
Burgas,2020-12-07,85.0
Burgas,2020-12-08,73.0
Burgas,2020-12-09,471.0
Burgas,2020-12-10,164.0
Burgas,2020-12-11,377.0
Burgas,2020-12-12,300.0
Burgas,2020-12-13,66.0
Burgas,2020-12-14,65.0
Burgas,2020-12-15,110.0
Burgas,2020-12-16,247.0
Burgas,2020-12-17,108.0
Burgas,2020-12-18,202.0
Burgas,2020-12-19,97.0
Burgas,2020-12-20,76.0
Burgas,2020-12-21,0.0
Burgas,2020-12-22,81.0
Burgas,2020-12-23,145.0
Burgas,2020-12-24,75.0
Burgas,2020-12-25,57.0
